Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_Wildtype_1_30_S1.sorted_PDUI	Synthego_Wildtype_1_32_S3.sorted_PDUI	Synthego_Wildtype_2_2_S5.sorted_PDUI	Synthego_Wildtype_24hour_A_S58.sorted_PDUI	Synthego_Wildtype_24hour_B_S53.sorted_PDUI	Synthego_Wildtype_24hour_C_S48.sorted_PDUI	Synthego_Wildtype_4hour_A1_S45.sorted_PDUI	Synthego_Wildtype_4hour_A2_S46.sorted_PDUI	Synthego_Wildtype_4hour_B_S51.sorted_PDUI	Synthego_Wildtype_4hour_C_S52.sorted_PDUI	Synthego_Wildtype_Control_A_S44.sorted_PDUI	Synthego_Wildtype_Control_B_S60.sorted_PDUI	Synthego_Wildtype_Control_C_S47.sorted_PDUI	Synthego_Wildtype_Cytoplasm1_S68.sorted_PDUI	Synthego_Wildtype_Cytoplasm2_S69.sorted_PDUI	Synthego_Wildtype_Cytoplasm3_S70.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24.sorted_PDUI	Synthego_Wildtype_Nuclear1_S62.sorted_PDUI	Synthego_Wildtype_Nuclear2_S63.sorted_PDUI	Synthego_Wildtype_Nuclear3_S64.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12.sorted_PDUI	mean	sd
NM_018141.4|MRPS10|chr6|-	440.2	42208046	chr6:42206807-42208372	0	0	0	0.24	0.19	0	0	0.3	0.27	0.26	0.36	0.4	0	0	0.36	0	0.35	0.34	0.27	0.41	0.26	0.31	0.55	0.26	0.48	0.2	0	0.4	0.33	0.34	0.4	0.3	0.53	0.34	0.248529411764706	0.170349593357951
NM_015950.5|MRPL2|chr6|-	2707	43054233	chr6:43054029-43054486	0.04	0.03	0.03	0.07	0.04	0.03	0.02	0.04	0.03	0.04	0.05	0.02	0.03	0.04	0.06	0.04	0.04	0.04	0.02	0.04	0.05	0.03	0.03	0.03	0.05	0.35	0.02	0.04	0.04	0.04	0.02	0.03	0.05	0.04	0.0461764705882353	0.0548836071945069
XM_005249161.5|MRPL2|chr6|-	9376.8	43054288	chr6:43054225-43054486	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_199184.2|DNPH1|chr6|-	6823.3	43225992	chr6:43225629-43226143	1	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0.794117647058823	0.410425630121905
NM_006443.3|DNPH1|chr6|-	140285.9	43225690	chr6:43225629-43225881	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_014345.3|ZNF318|chr6|-	34.4	43340351	chr6:43336070-43340502	0	0	0	0.01	0.04	0.01	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.03	0.01	0.02	0.01	0.02	0.04	0	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.04	0.01	0.0120588235294118	0.0114889701426025
NM_203290.4|POLR1C|chr6|+	5824.6	43521333	chr6:43521182-43521513	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.941176470588235	0.238832573610613
NM_020750.3|XPO5|chr6|-	428.4	43523846	chr6:43522334-43524005	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.0111764705882353	0.00537373290623879
NM_001318770.2|MRPL14|chr6|-	83049.4	44113693	chr6:44113451-44114209	0.27	0	0.27	0.32	0	0	0	0	0	0	0	0	0	0.21	0.25	0.28	0.24	0.21	0.29	0.33	0	0	0.32	0.26	0	0.19	0.2	0.33	0	0	0	0	0	0	0.116764705882353	0.136996363327872
NM_001271970.2|HSP90AB1|chr6|+	14216575	44253640	chr6:44253489-44253883	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_000255.4|MMUT|chr6|-	393.3	49431372	chr6:49430360-49431856	0	0	0	0	0	0	0	0	0	0	0.35	0	0.25	0.1	0.12	0.16	0.26	0.22	0.18	0	0	0.26	0.25	0.21	0.35	0.04	0.06	0.18	0	0	0	0	0	0	0.0879411764705882	0.117390294673037
XM_005249143.3|MMUT|chr6|-	845.6	49431705	chr6:49431278-49431856	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0.441176470588235	0.503994737261378
XM_024446409.1|TMEM14A|chr6|+	599.8	52686277	chr6:52686010-52686588	1	0	0	0	0	1	0	0.96	0	0	0.98	0	1	0	0.66	1	0.99	0	0	1	0	0	0	0	0	0	1	0	0	0.76	0	0.86	0	0.88	0.355588235294118	0.463525300388039
NM_001402.6|EEF1A1|chr6|-	408448162	73517517	chr6:73515750-73517934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001366292.3|COX7A2|chr6|-	522144.5	75237786	chr6:75237675-75237988	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.00117647058823529	0.00327034970083864
NM_001366293.2|COX7A2|chr6|-	1811472.8	75237836	chr6:75237787-75237988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001318884.2|HMGN3|chr6|-	4731.4	79201478	chr6:79201245-79201726	1	0.47	0.83	0.91	0.71	0.93	1	1	0.94	0.5	0.76	0.84	0.91	1	0.73	1	0.74	0.85	0.92	0.51	0.66	0.76	0.92	1	0.85	1	0.74	1	0.83	0.82	0.83	0.84	0.81	0.83	0.836470588235294	0.145911603645602
NM_001159676.1|SYNCRIP|chr6|-	418.4	85612570	chr6:85607784-85612920	0.1	0.08	0	0.2	0.23	0.21	0	0.2	0	0.18	0.17	0	0.15	0.12	0.07	0.11	0.16	0.18	0.19	0.12	0.13	0.15	0.1	0.12	0	0.18	0.07	0.09	0.12	0.11	0.16	0.15	0.12	0.14	0.120882352941176	0.0646842047629176
NM_001159677.2|SYNCRIP|chr6|-	419.6	85612570	chr6:85607784-85612923	0.1	0.08	0	0.2	0.23	0.21	0	0.2	0	0.18	0.17	0	0.15	0.12	0.07	0.11	0.17	0.18	0.19	0.12	0.13	0.15	0.1	0.13	0	0.18	0.07	0.09	0.12	0.11	0.16	0.15	0.12	0.14	0.121470588235294	0.0649070362222667
XM_017010176.1|SYNCRIP|chr6|-	464.3	85612570	chr6:85608332-85612923	0.12	0.09	0	0.23	0.26	0.24	0	0.23	0	0.2	0.19	0	0.17	0.14	0.08	0.13	0.19	0.2	0.21	0.13	0.14	0.17	0.11	0.14	0	0.2	0.07	0.07	0.13	0.13	0.18	0.17	0.14	0.16	0.135882352941176	0.074064576535117
XM_017010177.1|SYNCRIP|chr6|-	463.1	85612570	chr6:85608332-85612920	0.12	0.09	0	0.22	0.26	0.24	0	0.23	0	0.2	0.19	0	0.17	0.14	0.08	0.13	0.19	0.2	0.21	0.13	0.14	0.17	0.11	0.14	0	0.2	0.07	0.07	0.13	0.13	0.18	0.17	0.14	0.16	0.135588235294118	0.0736984509713693
XM_017010180.2|SYNCRIP|chr6|-	1386.1	85612769	chr6:85612581-85612920	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0.93	0.85	1	1	1	1	1	1	1	0.846470588235294	0.357854569690158
NM_001168398.2|SLC35A1|chr6|+	26.5	87511550	chr6:87511399-87512336	0	0	0	0.39	0.11	0.39	0	0.34	0.26	0	0	0.13	0	0	0	0	0	0	0.15	0.3	0	0	0	0.37	0	0.11	0.07	0.21	0	0	0.51	0.54	0	0	0.114117647058824	0.168399194683506
NM_001322406.2|PNISR|chr6|-	804.8	99400874	chr6:99398050-99401630	0.37	0.66	0	0.18	0.23	0.29	0.21	0.24	0.25	0.18	0.21	0.2	0.3	0.21	0	0.09	0.31	0.24	0.29	0.22	0.2	0.31	0.15	0.16	0.24	0.09	0.11	0.12	0.18	0.19	0.18	0.21	0.2	0.16	0.211176470588235	0.113050396535628
NM_138408.4|GTF3C6|chr6|+	68513.9	110967661	chr6:110967510-110967872	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_015952.4|RWDD1|chr6|+	3650.1	116593269	chr6:116592980-116597675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0.000588235294117647	0.00238832573610613
XM_017010826.1|RSPH4A|chr6|+	29.9	116632358	chr6:116632207-116633051	0	0	0	0	0	0.08	0	0.06	0	0	0	0	0.03	0	0	0	0.08	0.05	0.02	0.05	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0.0141176470588235	0.027204906760944
NM_001161664.2|RSPH4A|chr6|+	32.4	116632358	chr6:116632207-116632985	0	0	0	0	0	0.09	0	0.07	0	0	0	0	0.03	0	0	0	0.09	0.05	0.02	0.05	0	0	0	0	0	0.02	0	0	0	0	0.1	0	0	0	0.0152941176470588	0.0300741804208484
XR_002956294.1|TRMT11|chr6|+	33.6	126038856	chr6:126038705-126039276	0	0	0	0.46	0.35	0	0	0	0	0	0	0	0	0	0	0	0.43	0.8	0.44	0.49	0.38	0	0.23	0.21	0	0.43	0.44	0.28	0	0	0	0	0	0	0.145294117647059	0.218344116700411
NM_001286525.2|CENPW|chr6|+	3565	126348617	chr6:126348466-126348875	0.03	0.02	0.06	0.03	0	0.04	0.03	0.08	0.02	0.03	0.03	0.06	0.07	0.02	0.03	0.04	0.03	0.04	0.02	0.04	0.04	0.02	0.02	0.04	0.02	0	0.13	0	0.05	0.03	0.02	0.06	0.02	0.03	0.0352941176470588	0.0248919232510719
NM_001195597.2|SMLR1|chr6|+	62223.8	130835290	chr6:130834870-130837135	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.01	0.01	0.02	0.02	0.03	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0	0.01	0.02	0.01	0.02	0.03	0.02	0.0185294117647059	0.00609637395515314
NM_032020.5|FUCA2|chr6|-	20745.9	143495481	chr6:143494812-143495847	0	0.01	0.01	0	0	0.01	0	0	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0	0	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0.01	0	0	0.00411764705882353	0.00499554168435642
NM_032860.5|LTV1|chr6|+	3551	143863568	chr6:143863417-143863812	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0.470588235294118	0.506640397104899
NM_139126.4|PPIL4|chr6|-	1712.5	149505553	chr6:149504495-149505704	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0.8	0	1	1	1	1	0.96	0.9	0.97	0.83	1	1	1	1	1	0.778235294117647	0.404867884086973
NM_001252053.1|PCMT1|chr6|+	133407.7	149802351	chr6:149802200-149802531	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0.382352941176471	0.493270218056382
XR_001744415.1|LOC107986660|chr6|-	48.2	149803642	chr6:149803125-149803793	0.01	0.04	0	0.04	0.05	0.05	0.01	0	0.02	0.02	0.01	0.01	0.05	0	0	0.05	0.03	0.02	0.02	0.1	0	0.02	0.03	0	0.13	0.03	0.04	0	0.02	0.06	0	0.02	0	0	0.0258823529411765	0.0293482379894224
NM_019041.7|MTRF1L|chr6|-	934.2	152988071	chr6:152987362-152990095	0	0	0	0	0	0.05	0	0.04	0	0	0.01	0	0	0	0	0.04	0	0	0	0	0	0	0	0.09	0.1	0.2	0	0	0	0	0.14	0.04	0	0.07	0.0229411764705882	0.0467442695735843
XR_245540.4|MTRF1L|chr6|-	21.4	152989904	chr6:152988535-152990095	0.09	0	0	0	0	0.08	0	0.09	0	0	0.07	0	0	0	0	0.07	0	0	0	0	0	0	0	0.09	0.11	0.02	0	0	0	0	0.09	0.09	0	0.08	0.0258823529411765	0.0400089116632497
XM_011535873.2|TFB1M|chr6|-	325.5	155257884	chr6:155257723-155258082	1	1	1	1	1	0	0.47	0	0	1	0	0	0	1	1	0	1	0.96	0.79	1	1	1	0.69	1	0.96	1	0.28	0.27	0.9	0.84	0.84	1	1	0.88	0.702352941176471	0.409693594476071
NM_001350502.2|TFB1M|chr6|-	325.5	155257884	chr6:155257723-155258082	1	1	1	1	1	0	0.47	0	0	1	0	0	0	1	1	0	1	0.96	0.79	1	1	1	0.69	1	0.96	1	0.28	0.27	0.9	0.84	0.84	1	1	0.88	0.702352941176471	0.409693594476071
NM_000636.4|SOD2|chr6|-	176357.9	159679115	chr6:159669069-159682638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0.000588235294117647	0.00238832573610613
NM_001024465.3|SOD2|chr6|-	3631396.3	159679121	chr6:159679064-159679298	0.54	0.56	0.55	0.55	0.56	0.55	0.59	0.58	0.56	0.56	0.54	0.55	0.55	0.56	0.6	0.63	0.54	0.54	0.56	0.58	0.53	0.53	0.56	0.54	0.54	0.57	0.59	0.58	0.54	0.54	0.53	0.53	0.53	0.54	0.555882352941176	0.023109442784521
NR_134864.1|MRPL18|chr6|+	15595	159798203	chr6:159798052-159798429	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0.411764705882353	0.499554168435642
XM_024446456.1|MPC1|chr6|-	1127.9	166365302	chr6:166364919-166365453	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0.441176470588235	0.503994737261378
NM_003730.6|RNASET2|chr6|-	3447.4	166929516	chr6:166922113-166929791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0.000882352941176471	0.00287902241281237
XM_024446576.1|RNASET2|chr6|-	172403.7	166929640	chr6:166929509-166929791	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.882352941176471	0.327034970083864
NM_001278532.2|ERMARD|chr6|+	97.5	169781516	chr6:169781330-169781600	0	0	0	0	0.21	0.34	0.2	0.07	0	0	0.13	0.09	0.1	0	0	0	0.18	0.08	0.16	0	0.25	0.2	0.05	0.37	0.13	0	0	0	0	0.13	0.07	0	0	0.1	0.0841176470588235	0.103575990170263
XM_024446487.1|ERMARD|chr6|+	103.6	169781516	chr6:169781330-169781583	0	0	0	0	0.23	0.42	0.28	0.14	0	0	0.2	0.18	0.2	0	0	0	0.36	0.16	0.24	0	0.36	0.24	0.1	0.41	0.18	0	0	0	0	0.18	0.13	0	0	0.2	0.123823529411765	0.136870093372851
NM_002793.4|PSMB1|chr6|-	2626357.8	170535254	chr6:170535120-170535405	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001362793.2|EIF3B|chr7|+	14491.9	2380430	chr7:2380279-2380745	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0.588235294117647	0.499554168435642
XM_011515600.1|EIF3B|chr7|+	64311.3	2380566	chr7:2380415-2380745	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001362791.2|EIF3B|chr7|+	14885.6	2380435	chr7:2380284-2380745	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0.705882352941177	0.46249729006288
NM_198097.5|CCZ1B|chr7|-	31126	6799128	chr7:6798937-6799279	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0.882352941176471	0.327034970083864
NM_020156.5|C1GALT1|chr7|+	153.9	7244350	chr7:7243524-7248616	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0.13	0	0.07	0.09	0.05	0.05	0	0.06	0.04	0	0	0.3	0	0.23	0	0.09	0.07	0	0	0	0.0402941176470588	0.0732155511762791
NM_001007157.2|PHF14|chr7|+	1494.6	11169569	chr7:11169416-11169618	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0.970588235294118	0.171498585142509
NM_001206901.1|TAX1BP1|chr7|+	13796.7	27829260	chr7:27828628-27829767	0.03	0.01	0	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.02	0.03	0.02	0.01	0.01	0.01	0.02	0.02	0	0.01	0.03	0.01	0.01	0.01	0.01	0.02	0.01	0.0158823529411765	0.0082085126024381
NM_001371267.1|CPVL|chr7|-	4621.8	28995633	chr7:28994636-28995882	0	0	0.01	0	0	0	0.01	0	0.01	0	0.01	0	0.01	0	0	0	0.01	0	0	0.01	0.01	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0.00294117647058824	0.0046249729006288
NM_019029.3|CPVL|chr7|-	8856.4	28995633	chr7:28995231-28995882	0	0	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0.01	0	0.01	0	0	0	0	0.01	0	0.01	0.00411764705882353	0.00499554168435642
NM_031311.5|CPVL|chr7|-	8907.9	28995633	chr7:28995235-28995882	0	0	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0.01	0	0.01	0	0	0	0	0	0	0.01	0.00382352941176471	0.00493270218056382
XM_017012366.1|CPVL|chr7|-	55469.7	28995731	chr7:28995630-28995882	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
XM_011515437.1|CPVL|chr7|-	55706.7	28995731	chr7:28995631-28995882	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
XM_011515474.3|BLVRA|chr7|+	6570.8	43807128	chr7:43806977-43807342	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0.352941176470588	0.485071250072666
XM_011515247.2|NUDCD3|chr7|-	1630.1	44383590	chr7:44382372-44383756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001382504.2|SPDYE10|chr7|-	68.5	73105335	chr7:73104008-73105486	0	0	0.04	0.03	0.02	0.04	0	0.01	0.01	0	0.01	0.03	0.02	0.02	0	0	0.04	0.02	0.04	0.04	0.09	0.01	0.04	0.06	0.03	0.18	0.61	0.29	0.04	0.02	0.04	0.01	0	0	0.0526470588235294	0.113359412958249
NM_005685.4|GTF2IRD1|chr7|+	4125.5	74602547	chr7:74602365-74602605	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0.823529411764706	0.386952994975947
XM_011516713.1|GTF2IRD1|chr7|+	5153.2	74602536	chr7:74602365-74602590	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0.823529411764706	0.386952994975947
NM_001518.5|GTF2I|chr7|+	5937.1	74760060	chr7:74759548-74760692	0.3	0.28	0.3	0.27	0.3	0.29	0.21	0.33	0.31	0.25	0.29	0.25	0.25	0.43	0.31	0.36	0.24	0.27	0.25	0.26	0.2	0.2	0	0.21	0.24	0	0.31	0.22	0.2	0.24	0.26	0.17	0.28	0.26	0.251176470588235	0.0813806881224716
NR_002206.3|GTF2IP1|chr7|-	5957.8	75186013	chr7:75185383-75186527	0.3	0.29	0.3	0.29	0.31	0.3	0.2	0.35	0.3	0.25	0.29	0.25	0.25	0.43	0.32	0.37	0.24	0.27	0.25	0.27	0.22	0.22	0	0.21	0.24	0	0.31	0.22	0.21	0.24	0.26	0.21	0.28	0.25	0.255882352941176	0.08157976751023
NM_001346719.2|SGCE|chr7|-	319.1	94585231	chr7:94584980-94585515	0.01	0.02	0.01	0	0.01	0.01	0	0.02	0.01	0	0.02	0	0.01	0	0	0	0.02	0.02	0.02	0.02	0.03	0	0.02	0.01	0.01	0	0	0	0	0	0.02	0.02	0	0.02	0.00970588235294118	0.00936961372304499
XM_011516383.1|PPP1R9A|chr7|+	87.4	95290938	chr7:95290091-95296404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.03	0.06	0.03	0.07	0	0.07	0	0.07	0	0	0.08	0	0.06	0.08	0	0.05	0.0191176470588235	0.0296819144055896
NM_017650.3|PPP1R9A|chr7|+	87.4	95290938	chr7:95290091-95296400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.03	0.06	0.03	0.07	0	0.07	0	0.07	0	0	0.08	0	0.06	0.08	0	0.05	0.0191176470588235	0.0296819144055896
XM_017012402.1|PPP1R9A|chr7|+	14.3	95290242	chr7:95290091-95290699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0.18	0.06	0.01	0.05	0	0.04	0	0.04	0	0	0	0	0	0.05	0	0.05	0.0197058823529412	0.0459568502571869
XM_017012396.1|PPP1R9A|chr7|+	11.3	95290242	chr7:95290091-95290875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.17	0.04	0.01	0.05	0	0.03	0	0.07	0	0	0.01	0	0.01	0.05	0	0.06	0.0188235294117647	0.0399821707145143
NM_001166163.1|PPP1R9A|chr7|+	87.2	95290938	chr7:95290091-95296415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.03	0.06	0.03	0.07	0	0.07	0	0.07	0	0	0.08	0	0.06	0.08	0	0.05	0.0191176470588235	0.0296819144055896
NM_001352496.2|ASNS|chr7|-	70217.6	97852127	chr7:97851677-97852468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_147989.1|CZ1P-ASNS|chr7|-	61024.3	97852317	chr7:97852117-97852468	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0.323529411764706	0.474858079933817
NM_001105533.1|CPED1|chr7|+	234.3	121261798	chr7:121261632-121261918	0	0.45	0.3	0.22	0.59	0.41	0.16	0	0.42	0.48	0.42	0.36	0.25	0.21	0.49	0.03	0.32	0.47	0.26	0.26	0.33	0.22	0.21	0.37	0.27	0	0.02	0	0.35	0.28	0.32	0.47	0.62	0.39	0.292647058823529	0.170743628898033
NM_001291304.2|NDUFA5|chr7|-	5328	123541028	chr7:123536997-123542220	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.00147058823529412	0.00359490627953571
NM_182491.4|ZFAND2A|chr7|-	4430.3	1153073	chr7:1152907-1153224	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0.705882352941177	0.46249729006288
NM_001365381.2|ZFAND2A|chr7|-	11545	1152974	chr7:1152907-1153131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0.970588235294118	0.171498585142509
NR_158186.2|ZFAND2A|chr7|-	3973.5	1153090	chr7:1152907-1153241	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0.352941176470588	0.485071250072666
XM_017012083.1|SNX8|chr7|-	17.8	2255005	chr7:2251770-2255169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001365764.1|USP42|chr7|+	70.7	6156905	chr7:6156754-6157331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.00176470588235294	0.00757611407360845
NM_006908.5|RAC1|chr7|+	18850.2	6402640	chr7:6402316-6403967	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.02	0.03	0.03	0.02	0.03	0.03	0.02	0.03	0.03	0.03	0.04	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.0267647058823529	0.00588814331763887
NM_006854.4|KDELR2|chr7|-	58071.6	6461746	chr7:6461089-6463175	0.07	0.04	0.03	0.06	0.02	0.02	0.04	0.03	0.03	0.03	0.04	0.02	0.02	0.06	0.02	0.05	0.05	0.04	0.04	0.02	0.02	0.02	0.03	0.04	0.02	0.08	0	0	0	0.04	0.02	0.02	0.03	0.02	0.0314705882352941	0.0184444050712234
XM_005249796.3|ZDHHC4|chr7|+	5029.9	6588768	chr7:6588617-6588996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0.941176470588235	0.238832573610613
NM_001371293.1|ZDHHC4|chr7|+	6885.7	6588768	chr7:6588617-6589066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0.941176470588235	0.238832573610613
